X,Y,OBJECTID,StopID,Route,Lat,Lon,DailyBoardings,DotSize
-89.302989996165266,43.062487054512715,15828,7848,31,43.062495,-89.302996,0.34,3392.62
-89.302297995817923,43.076775051803232,15829,7849,35,43.076783,-89.302304,0.23,2270.73
-89.281847001958653,43.068232052318983,15830,7852,35,43.06824,-89.281853,1.36,13624.36
-89.276201002552156,43.088038048204012,15831,7858,33,43.088046,-89.276207,2.14,21363.94
-89.291310999769507,43.070158052154468,15832,7861,35,43.070166,-89.291317,4.43,44279.17
-89.291310999769507,43.070158052154468,15833,7861,39,43.070166,-89.291317,4,39960.38
-89.291338999485632,43.075126051671177,15834,7880,32,43.075134,-89.291345,0.78,7848.3
-89.291338999485632,43.075126051671177,15835,7880,35,43.075134,-89.291345,0.34,3406.09
-89.329243986133704,43.089170051316799,15836,7888,16,43.089178,-89.32925,1.35,13498.93
-89.329243986133704,43.089170051316799,15837,7888,31,43.089178,-89.32925,0.11,1130.87
-89.329243986133704,43.089170051316799,15838,7888,38,43.089178,-89.32925,0.34,3398
-89.289291997458548,43.099101047718918,15839,7892,32,43.099109,-89.289298,0.9,8969.49
-89.289291997458548,43.099101047718918,15840,7892,33,43.099109,-89.289298,0.45,4497.67
-89.302856993711742,43.088773049484416,15841,7898,35,43.088781,-89.302863,0.23,2270.73
-89.315276993194217,43.058407055781103,15842,7903,38,43.058415,-89.315283,0.11,1132.67
-89.286040000175262,43.082785049485132,15843,7906,32,43.082793,-89.286046,1.91,19060.16
-89.286040000175262,43.082785049485132,15844,7906,35,43.082793,-89.286046,0.79,7947.54
-89.294107996989851,43.085962050229142,15845,7907,32,43.08597,-89.294114,0.67,6727.12
-89.294107996989851,43.085962050229142,15846,7907,33,43.08597,-89.294114,1.01,10119.76
-89.302352993253535,43.094735048397006,15847,7912,32,43.094743,-89.302359,0.22,2242.37
-89.302352993253535,43.094735048397006,15848,7912,35,43.094743,-89.302359,7.15,71527.89
-89.293169995971354,43.098836047706612,15849,7913,32,43.098844,-89.293176,2.35,23544.91
-89.293169995971354,43.098836047706612,15850,7913,33,43.098844,-89.293176,0.11,1124.42
-89.309055994322122,43.066584054180844,15851,7914,37,43.066592,-89.309062,0.11,1124.79
-89.295494998098164,43.077136050881791,15852,7916,32,43.077144,-89.295501,0.34,3363.56
-89.295494998098164,43.077136050881791,15853,7916,35,43.077144,-89.295501,3.63,36331.63
-89.323422991091945,43.058261055676923,15854,7917,38,43.058269,-89.323429,0.34,3398
-89.277832003143317,43.075452050325758,15855,7919,35,43.07546,-89.277838,7.72,77204.71
-89.291671001031602,43.056102054740677,15856,7920,31,43.05611,-89.291677,3.39,33926.17
-89.302839995119925,43.084538050094586,15857,7925,32,43.084546,-89.302846,7.29,72877.09
-89.302839995119925,43.084538050094586,15858,7925,35,43.084546,-89.302846,12.72,127160.69
-89.325548987648645,43.090905050582492,15859,7926,38,43.090913,-89.325555,1.47,14724.67
-89.279042000314732,43.099063046613125,15860,7929,33,43.099071,-89.279048,0.11,1124.42
-89.279041001269647,43.087943048361673,15861,7931,33,43.087951,-89.279047,0.22,2248.84
-89.303061994803443,43.077555051781886,15862,7933,32,43.077563,-89.303068,0.34,3363.56
-89.303061994803443,43.077555051781886,15863,7933,35,43.077563,-89.303068,3.29,32925.54
-89.302056993204104,43.094869048337429,15864,7943,32,43.094877,-89.302063,2.35,23544.91
-89.302056993204104,43.094869048337429,15865,7943,35,43.094877,-89.302063,3.52,35196.26
-89.260900006581053,43.089041047274954,15866,7944,33,43.089049,-89.260906,1.57,15741.85
-89.305963991857112,43.09883004848615,15867,7948,30,43.098838,-89.30597,1.12,11158.02
-89.305963991857112,43.09883004848615,15868,7948,33,43.098838,-89.30597,1.91,19115.1
-89.305963991857112,43.09883004848615,15869,7948,35,43.098838,-89.30597,1.82,18165.81
-89.323873988301102,43.079667052121998,15870,7955,31,43.079675,-89.32388,0.45,4523.49
-89.270745003472712,43.087110048303693,15871,7963,33,43.087118,-89.270751,0.45,4497.67
-89.298859997276068,43.073424052157833,15872,7968,39,43.073432,-89.298866,0.69,6850.35
-89.302073993902937,43.091771049528937,15873,7969,32,43.091779,-89.30208,0.22,2242.37
-89.302073993902937,43.091771049528937,15874,7969,35,43.091779,-89.30208,1.82,18165.81
-89.288230999895703,43.073565051832666,15875,7984,32,43.073573,-89.288237,0.67,6727.12
